ID,Temperature,L,R,A_M,Color,Spectral_Class
0,3068,0.0024,0.17,16.12,Red,M
1,3042,0.0005,0.1542,16.6,Red,M
2,2600,0.0003,0.102,18.7,Red,M
3,2800,0.0002,0.16,16.65,Red,M
4,1939,0.000138,0.103,20.06,Red,M
5,2840,0.00065,0.11,16.98,Red,M
6,2637,0.00073,0.127,17.22,Red,M
7,2600,0.0004,0.096,17.4,Red,M
8,2650,0.00069,0.11,17.45,Red,M
9,2700,0.00018,0.13,16.05,Red,M
10,3600,0.0029,0.51,10.69,Red,M
11,3129,0.0122,0.3761,11.79,Red,M
12,3134,0.0004,0.196,13.21,Red,M
13,3628,0.0055,0.393,10.48,Red,M
14,2650,0.0006,0.14,11.782,Red,M
15,3340,0.0038,0.24,13.07,Red,M
16,2799,0.0018,0.16,14.79,Red,M
17,3692,0.00367,0.47,10.8,Red,M
18,3192,0.00362,0.1967,13.53,Red,M
19,3441,0.039,0.351,11.18,Red,M
20,25000,0.056,0.0084,10.58,Blue White,B
21,7740,0.00049,0.01234,14.02,White,A
22,7220,0.00017,0.011,14.23,White,F
23,8500,0.0005,0.01,14.5,White,A
24,16500,0.013,0.014,11.89,Blue White,B
25,12990,0.000085,0.00984,12.23,Yellowish White,F
26,8570,0.00081,0.0097,14.2,Blue white,A
27,7700,0.00011,0.0128,14.47,Yellowish White,F
28,11790,0.00015,0.011,12.59,Yellowish White,F
29,7230,0.00008,0.013,14.08,Pale yellow orange,F
30,39000,204000,10.6,-4.7,Blue,O
31,30000,28840,6.3,-4.2,Blue-white,B
32,15276,1136,7.2,-1.97,Blue-white,B
33,9700,74,2.89,0.16,Whitish,B
34,5800,0.81,0.9,5.05,yellow-white,F
35,8052,8.7,1.8,2.42,Whitish,A
36,6757,1.43,1.12,2.41,yellow-white,F
37,6380,1.35,0.98,2.93,yellow-white,F
38,5936,1.357,1.106,4.46,yellow-white,F
39,5587,0.819,0.99,5.03,yellow-white,F
40,3490,270000,1520,-9.4,Red,M
41,3750,283000,1260,-7.63,Red,M
42,3834,272000,1183,-9.2,Red,M
43,3749,550000,1648,-8.05,Orange,M
44,3650,310000,1324,-7.79,Red,M
45,3450,263000,1349,-11.75,Red,M
46,3660,363000,1673,-11.92,Red,M
47,3450,174000,1284,-11.28,Red,M
48,3752,209000,955,-11.24,Red,M
49,3535,195000,1546,-11.36,Red,M
50,3341,0.0056,0.057,16.23,Red,M
51,3432,0.00067,0.19,16.94,Red,M
52,2983,0.00024,0.094,16.09,Red,M
53,2835,0.00034,0.0918,16.96,Red,M
54,2935,0.00014,0.116,18.89,Red,M
55,3295,0.00098,0.132,17.13,Red,M
56,2945,0.00032,0.093,18.34,Red,M
57,2817,0.00098,0.0911,16.45,Red,M
58,2774,0.00036,0.118,17.39,Red,M
59,2871,0.00072,0.12,19.43,Red,M
60,3345,0.021,0.273,12.3,Red,M
61,3607,0.022,0.38,10.12,Red,M
62,3304,0.0085,0.18,13.2,Red,M
63,3150,0.0088,0.35,11.94,Red,M
64,3550,0.004,0.291,10.89,Red,M
65,3180,0.001,0.35,11.76,Red,M
66,2890,0.0034,0.24,13.46,Red,M
67,3342,0.0015,0.307,11.87,Red,M
68,2621,0.0006,0.098,12.81,Red,M
69,3158,0.00135,0.161,13.98,Red,M
70,7100,0.00029,0.012,14.09,White-Yellow,F
71,10574,0.00014,0.0092,12.02,White,F
72,8930,0.00056,0.0095,13.78,white,A
73,17200,0.00098,0.015,12.45,Blue White,B
74,14100,0.00067,0.0089,12.17,Blue White,B
75,9675,0.00045,0.0109,13.98,Blue White,A
76,12010,0.00078,0.0092,12.13,Blue White,B
77,10980,0.00074,0.0087,11.19,Blue White,B
78,13720,0.00018,0.00892,12.97,white,F
79,19860,0.0011,0.0131,11.34,Blue,B
80,5300,0.59,0.91,5.49,yellow-white,F
81,4526,0.153,0.865,6.506,yellowish,K
82,4077,0.085,0.795,6.228,yellowish,K
83,4980,0.357,1.13,4.78,Yellowish,K
84,9030,45,2.63,1.45,Blue-white,A
85,11250,672,6.98,-2.3,Blue-white,A
86,5112,0.63,0.876,4.68,Orange-Red,K
87,7720,7.92,1.34,2.44,yellow-white,F
88,12098,689,7.01,0.02,Blue-white,A
89,36108,198000,10.2,-4.4,Blue,O
90,3459,100000,1289,-10.7,Red,M
91,3605,126000,1124,-10.81,Red,M
92,3615,200000,1635,-11.33,Red,M
93,3399,117000,1486,-10.92,Red,M
94,3610,132000,1522,-10.86,Red,M
95,3553,145000,1324,-11.03,Red,M
96,4015,282000,1534,-11.39,Red,K
97,3625,74000,876,-10.25,Red,M
98,6850,229000,1467,-10.07,Red,G
99,3780,200000,1324,-10.7,Red,M
100,3323,0.00043,0.0912,17.16,Red,M
101,3531,0.00093,0.0976,19.94,Red,M
102,3218,0.00054,0.11,20.02,Red,M
103,3146,0.00015,0.0932,16.92,Red,M
104,3511,0.00064,0.109,17.12,Red,M
105,3225,0.00076,0.121,19.63,Red,M
106,2935,0.00087,0.0932,16.88,Red,M
107,2861,0.00019,0.0899,16.71,Red,M
108,2856,0.000896,0.0782,19.56,Red,M
109,2731,0.000437,0.0856,18.09,Red,M
110,3095,0.00019,0.492,10.87,Red,M
111,3607,0.00023,0.38,10.34,Red,M
112,3100,0.008,0.31,11.17,Red,M
113,2989,0.0087,0.34,13.12,Red,M
114,3542,0.0009,0.62,14.23,Red,M
115,3243,0.0023,0.73,14.75,Red,M
116,3091,0.0081,0.24,11.43,Red,M
117,3598,0.0011,0.56,14.26,Red,M
118,3324,0.0034,0.34,12.23,Red,M
119,3541,0.0013,0.256,14.33,Red,M
120,13420,0.00059,0.00981,13.67,Blue White,B
121,21020,0.0015,0.0112,11.52,Blue,B
122,18290,0.0013,0.00934,12.78,Blue,B
123,14520,0.00082,0.00972,11.92,Blue White,B
124,11900,0.00067,0.00898,11.38,Blue white,B
125,8924,0.00028,0.00879,14.87,Blue white,A
126,12912,0.00071,0.00945,12.83,Blue white,B
127,14732,0.00011,0.00892,12.89,white,F
128,7723,0.00014,0.00878,14.81,White,A
129,12984,0.00088,0.00996,11.23,Blue White,B
130,29560,188000,6.02,-4.01,Blue-white,B
131,8945,38,2.487,0.12,Blue-White,A
132,14060,1092,5.745,-2.04,Blue-white,A
133,16390,1278,5.68,-3.32,Blue-white,B
134,25070,14500,5.92,-3.98,Blue-white,B
135,28700,16790,6.4,-4.09,Blue-white,B
136,26140,14520,5.49,-3.8,Blue-white,B
137,20120,4720,6.78,-3.4,Blue-white,B
138,13023,998,6.21,-1.38,Blue-white,A
139,37800,202900,6.86,-4.56,Blue,O
140,3570,320000,1480,-7.58,Red,M
141,3500,138000,1420,-8.18,Red,M
142,4287,630000,1315,-9.2,Orange,K
143,26000,316000,1679,-9.1,Blue,B
144,3600,240000,1190,-7.89,Red,M
145,3614,145000,1553,-7.71,Red,M
146,18000,200000,1045,-8.3,Blue,O
147,11000,170000,1779,-9.9,Blue-white,B
148,12100,120000,708.9,-7.84,Blue-white,B
149,24490,248490,1134.5,-8.24,Blue-white,B
150,2831,0.000231,0.0915,16.21,Red,M
151,2914,0.000631,0.116,18.39,Red,M
152,3419,0.000245,0.126,17.56,Red,M
153,3218,0.000452,0.0987,17.34,Red,M
154,3453,0.000621,0.0773,17.08,Red,M
155,2889,0.000352,0.0973,16.93,Red,M
156,2968,0.000461,0.119,17.45,Red,M
157,3484,0.000551,0.0998,16.67,Red,M
158,2778,0.000849,0.112,19.45,Red,M
159,3523,0.000957,0.129,16.35,Red,M
160,3462,0.0053,0.148,11.47,Red,M
161,3257,0.0024,0.46,10.73,Red,M
162,2994,0.0072,0.28,13.45,Red,M
163,3212,0.0016,0.378,12.854,Red,M
164,3523,0.0054,0.319,12.43,Red,M
165,3598,0.0027,0.67,13.667,Red,M
166,3142,0.00132,0.258,14.12,Red,M
167,3496,0.00125,0.336,14.94,Red,M
168,3324,0.0065,0.471,12.78,Red,M
169,3463,0.0027,0.675,14.776,Red,M
170,16790,0.0014,0.0121,12.87,Blue,B
171,15680,0.00122,0.0114,11.92,Blue,B
172,14982,0.00118,0.0113,12.23,Blue,B
173,13340,0.00109,0.0116,12.9,Blue,B
174,18340,0.00134,0.0124,11.22,Blue,B
175,19920,0.00156,0.0142,11.34,Blue,B
176,24020,0.00159,0.0127,10.55,Blue,B
177,23092,0.00132,0.0104,10.18,Blue,B
178,17920,0.00111,0.0106,11.66,Blue,B
179,19360,0.00125,0.00998,11.62,Blue,B
180,22350,12450,6.36,-3.67,Blue-white,B
181,10012,552,5.856,0.013,Blue-white,A
182,13089,788,5.992,-0.12,Blue-white,A
183,22012,6748,6.64,-2.55,Blue-white,B
184,34190,198200,6.39,-4.57,Blue,O
185,32460,173800,6.237,-4.36,Blue,O
186,9320,29,1.91,1.236,Blue-white,A
187,19400,10920,6.03,-3.08,Blue-white,B
188,17140,883,5.653,-2.64,Blue-white,B
189,8250,9.25,1.93,-0.98,yellow-white,F
190,24145,382993,1494,-8.84,Blue-white,B
191,38234,272830,1356,-9.29,Blue,O
192,32489,648430,1948.5,-10.84,Blue,O
193,27739,849420,1252,-7.59,Blue-white,B
194,21904,748490,1130,-7.67,Blue-white,B
195,38940,374830,1356,-9.93,Blue,O
196,30839,834042,1194,-10.63,Blue,O
197,8829,537493,1423,-10.73,White,A
198,9235,404940,1112,-11.23,White,A
199,37882,294903,1783,-7.8,Blue,O
